hostname,mx_domain
crmicro.com,crc.com.hk
crmicro.com,crc.com.cn
qianxin.com,qianxin.com
trinasolar.com,corpemail.net
trinasolar.com,corp-email.cn
trinasolar.com,biz-email.net
trinasolar.com,corpsmtp.net
smics.com,smics.com
airtel.africa,pphosted.com
angloamerican.com,mimecast.co.za
admiralgroup.co.uk,messagelabs.com
ashtead-group.com,pphosted.com
antofagasta.co.uk,mimecast.com
autotrader.co.uk,outlook.com
aviva.com,messagelabs.com
aveva.com,iphmx.com
astrazeneca.com,mimecast.com
baesystems.com,baesystems.com
bat.com,outlook.com
barrattdevelopments.co.uk,1and1.co.uk
berkeleygroup.co.uk,mimecast.com
britishland.com,mimecast.com
bandmretail.com,iphmx.com
bunzl.com,messagelabs.com
bunzl.com,mimecast.com
bp.com,outlook.com
bt.com,outlook.com
coca-colahellenic.com,outlook.com
centrica.com,outlook.com
compass-group.com,outlook.com
croda.com,outlook.com
crh.com,pphosted.com
convatecgroup.com,cscdns.net
dcc.ie,outlook.com
diageo.com,pphosted.com
dechra.com,messagelabs.com
endeavourmining.com,mimecast.co.za
entaingroup.com,outlook.com
experianplc.com,pphosted.com
fandc.com,pphosted.com
flutter.com,mailcontrol.com
frasers.group,outlook.com
fresnilloplc.com,penoles.com.mx
glencore.com,glencore.com
gsk.com,pphosted.com
harbourenergy.com,mimecast.com
halma.com,pphosted.com
haleon.com,pphosted.com
hl.co.uk,outlook.com
hsbc.com,pphosted.com
homeserveplc.com,NA.NA
homeserveplc.com,outlook.com
iairgroup.com,outlook.com
icgam.com,mimecast.com
3i.com,mimecast.com
imperialbrandsplc.com,outlook.com
informa.com,mimecast.com
intertek.com,pphosted.com
jdsports.co.uk,trendmicro.eu
kingfisher.com,outlook.com
landsec.com,pphosted.com
legalandgeneral.com,messagelabs.com
lseg.com,mimecast.com
mondigroup.com,pphosted.com
mandg.com,prudential.co.uk
mandg.com,iphmx.com
melroseplc.net,outlook.com
nationalgrid.com,pphosted.com
natwestgroup.com,netnames.net
ocadogroup.com,googlemail.com
ocadogroup.com,google.com
thephoenixgroup.com,mimecast.com
prudentialplc.com,outlook.com
pershingsquareholdings.com,emailsrvr.com
persimmonhomes.com,mimecast.com
pearson.com,outlook.com
relx.com,outlook.com
riotinto.com,outlook.com
reckitt.com,mimecast.com
rightmove.co.uk,outlook.com
rolls-royce.com,iphmx.com
rsgroup.com,mimecast.com
rentokil-initial.com,google.com
sainsburys.co.uk,pphosted.com
schroders.com,mimecast.com
sage.com,iphmx.com
segro.com,mimecast.com
shell.com,outlook.com
sjp.co.uk,pphosted.com
smurfitkappa.com,outlook.com
dssmith.com,outlook.com
smiths.com,outlook.com
smith-nephew.com,outlook.com
spiraxsarcoengineering.com,iphmx.com
sse.com,pphosted.com
sc.com,messagelabs.com
severntrent.com,outlook.com
taylorwimpey.co.uk,outlook.com
unilever.com,outlook.com
unitedutilities.com,pphosted.com
vodafone.com,outlook.com
wpp.com,pphosted.com
whitbread.co.uk,pphosted.com
ckh.com.hk,pphosted.com
clpgroup.com,clp.com.hk
towngas.com,outlook.com
powerassets.com,on-nets.com
powerassets.com,hkelectric.com
hangseng.com,pphosted.com
hld.com,hld.com
shkp.com,greenradar.com
nwd.com.hk,nwd.com.hk
galaxyentertainment.com,pphosted.com
mtr.com.hk,fireeyecloud.com
hanglung.com,outlook.com
geelyauto.com.hk,barracudanetworks.com
citic.com,qq.com
wh-group.com,outlook.com
ooilgroup.com,outlook.com
hkexgroup.com,hkex.com.hk
ttigroup.com,outlook.com
tencent.com,qq.com
chinaunicom.com.hk,chinaunicom.com.hk
linkreit.com,ttasia.com
linkreit.com,ttasia.net
xinyiglass.com,xinyiglass.com
zs-group.com.cn,zs-group.com.cn
longfor.com,263xmail.com
xinyisolar.com,xinyisolar.com
lenovo.com,outlook.com
cki.com.hk,ckah.com
hengan.com,qq.com
cspc.com.hk,cspc.com.hk
crland.com.hk,crc.com.hk
crland.com.hk,crc.com.cn
ckah.com,ckah.com
sinobiopharm.com,google.com
sinobiopharm.com,googlemail.com
aia.com,pphosted.com
hongqiaochina.com,263xmail.com
mi.com,mi.com
budweiserapac.com,mimecast.com
wharfreic.com,iphmx.com
countrygarden.com.cn,countrygarden.com.cn
anta.com,anta.com
wuxibiologics.com,wuxibiologics.com
shenzhouintl.com,qq.com
mengniuir.com,aliyun.com
lining.com,li-ning.com.cn
sunnyoptical.com,corpsmtp.net
sunnyoptical.com,corpsmtp.cn
sunnyoptical.com,corpemail.net
sunnyoptical.com,corp-email.cn
bochk.com,bochk.com
ennenergy.com,enn.cn
meituan.com,meituan.com
hspharm.com,corp-email.cn
hspharm.com,corpsmtp.cn
hspharm.com,corpemail.net
hspharm.com,corpsmtp.net
bgyfw.com,bgyfw.com
haidilao.com,icoremail.net
jd.com,jd.com
baidu.com,baidu.com
baidu.com,shifen.com
alibabagroup.com,mxhichina.com
netease.com,netease.com
covestro.de,cscdns.net
ab-inbev.com,mimecast.com
